# z (m), K (m^2/s^2), Kth (K^2), uw (m^2/s^2), vw (m^2/s^2), uv (m^2/s^2), uu (m^2/s^2), vv (m^2/s^2), ww (m^2/s^2), ut (mK/s), vt (mK/s), wt (mK/s)
6.429386744020000322e+01, 1.452248070311299988e-01, 9.843559929167779166e-03, -2.542439342191755297e-02, -1.480552356006882390e-03, 2.587088991528092245e-03, 1.503076963687062506e-01, 1.059912555834227471e-01, 3.415066219371947626e-02, 1.539566774117787432e-02, 8.930062772050914631e-04, -8.242870249982161071e-03
6.552787992400000405e+01, 1.428774513260402390e-01, 9.785148445223176492e-03, -2.490106344648489872e-02, -1.117392306809826714e-03, 1.964344193468620277e-03, 1.479929919979235120e-01, 1.042526172033585025e-01, 3.350929353324272331e-02, 1.525139606848307551e-02, 6.807851702862200696e-04, -8.098626307101154664e-03
6.676841992980000384e+01, 1.405055795756722514e-01, 9.723018761368766583e-03, -2.437545574602374698e-02, -7.636552149369677661e-04, 1.349910621862120998e-03, 1.456327320274365122e-01, 1.025106344640056844e-01, 3.286779274120411876e-02, 1.509895345998477599e-02, 4.693826629954070146e-04, -7.954350351968052582e-03
6.801552198599999599e+01, 1.381103128498892274e-01, 9.657184403730567288e-03, -2.384773337319574804e-02, -4.194833143243694926e-04, 7.447667769423606038e-04, 1.432281880947240127e-01, 1.007662013806648882e-01, 3.222623630455127147e-02, 1.493838622028852495e-02, 2.590633304642640496e-04, -7.810060491892192522e-03
6.926922080369999435e+01, 1.356927814569712509e-01, 9.587659904600852670e-03, -2.331806565578722901e-02, -8.501875390632624764e-05, 1.498998652339952593e-04, 1.407806759873894975e-01, 9.902017736589630026e-02, 3.158470963968092182e-02, 1.476974697506844986e-02, 5.009549236672738667e-05, -7.665775380110019521e-03
7.052955127760000664e+01, 1.332541255808497582e-01, 9.514460860944007684e-03, -2.278662841125964761e-02, 2.395966053595972357e-04, -4.336952943640337999e-04, 1.382915582915317521e-01, 9.727338618592437647e-02, 3.094330676213492143e-02, 1.459309506390857498e-02, -1.572488056311698718e-04, -7.521514230018867646e-03
7.179654848699999548e+01, 1.307954959232522363e-01, 9.437603995877097071e-03, -2.225360416344364725e-02, 5.542214050644800371e-04, -1.005017513043793189e-03, 1.357622470588270014e-01, 9.552661487594724110e-02, 3.030212998849479700e-02, 1.440849694699847597e-02, -3.626938259860052654e-04, -7.377296830200802402e-03
7.307024769679999565e+01, 1.283180543500042348e-01, 9.357107223228409640e-03, -2.171918236317237419e-02, 8.587150163514721719e-04, -1.563060631745497942e-03, 1.331942064873392617e-01, 9.378061261830906992e-02, 2.966128967000347325e-02, 1.421602662551437607e-02, -5.659601900711724604e-04, -7.233143559564884917e-03
7.435068435830000055e+01, 1.258229745403480204e-01, 9.272989715146782649e-03, -2.118355961222570180e-02, 1.152937780260660265e-03, -2.106815087162347382e-03, 1.305889556120717332e-01, 9.203608958937208040e-02, 2.902090395378130114e-02, 1.401576607667822522e-02, -7.667649468489197645e-04, -7.089075403150424740e-03
7.563789411049999956e+01, 1.233114426388797480e-01, 9.185271972934522938e-03, -2.064693989007494734e-02, 1.436751262558042365e-03, -2.635269654072470210e-03, 1.279480709988257414e-01, 9.029371578237163631e-02, 2.838109856998465019e-02, 1.380780570334930006e-02, -9.648216608384262280e-04, -6.945113968386587219e-03
7.693191278070000294e+01, 1.207846579093839884e-01, 9.093975901071135043e-03, -2.010953478448599882e-02, 1.710018523823060013e-03, -3.147413373768052480e-03, 1.252731894358102560e-01, 8.855411981265429167e-02, 2.774200664262617758e-02, 1.359224479906995069e-02, -1.159840520649543100e-03, -6.801281502000755368e-03
7.823277638599999761e+01, 1.182438333903474970e-01, 8.999124884584219081e-03, -1.957156372478017353e-02, 1.972604406266969916e-03, -3.642237679831082479e-03, 1.225660106138672517e-01, 8.681788771503864965e-02, 2.710376852302077630e-02, 1.336919202791964946e-02, -1.351528469801397498e-03, -6.657600907221446901e-03
7.954052113379999867e+01, 1.156901965520704956e-01, 8.900743869843141115e-03, -1.903325421864767233e-02, 2.224375838048829775e-03, -4.118738731867660485e-03, 1.198282997896180091e-01, 8.508556174208674328e-02, 2.646653164258590263e-02, 1.313876592098427339e-02, -1.539589361293030060e-03, -6.514095762067719821e-03
8.085518342299999972e+01, 1.131249899543597531e-01, 8.798859448690094648e-03, -1.849484209169509688e-02, 2.465202156716267672e-03, -4.575919969334502763e-03, 1.170618904180542458e-01, 8.335763917429052372e-02, 2.583045038545014882e-02, 1.290109538793189972e-02, -1.723724137838705123e-03, -6.370790337802434769e-03
8.217679984529999615e+01, 1.105494719057107528e-01, 8.693499946304854287e-03, -1.795657172986830225e-02, 2.694955453003627412e-03, -5.012794897519025350e-03, 1.142686867465667611e-01, 8.163457115486404125e-02, 2.519568597800145304e-02, 1.265632024538687443e-02, -1.903631039703974730e-03, -6.227709618417125344e-03
8.350540718569999399e+01, 1.079649171237982430e-01, 8.584695512661857236e-03, -1.741869632468600118e-02, 2.913510936234427889e-03, -5.428390117781944739e-03, 1.114506663567834954e-01, 7.991676156264727882e-02, 2.456240639511912335e-02, 1.240459176157454949e-02, -2.079005842006662400e-03, -6.084879320774894997e-03
8.484104242380000471e+01, 1.053726173966195168e-01, 8.472478217637566256e-03, -1.688147812094122763e-02, 3.120747323259407627e-03, -5.821748615768070068e-03, 1.086098826397862427e-01, 7.820456593806567047e-02, 2.393078628129307467e-02, 1.214607321768344968e-02, -2.249542123990552409e-03, -5.942325915652274526e-03
8.618374273499999560e+01, 1.027738822454472983e-01, 8.356882150127557460e-03, -1.634518866608110008e-02, 3.316547252307635273e-03, -6.191933320285621968e-03, 1.057484671887242433e-01, 7.649829048058733039e-02, 2.330100688644887522e-02, 1.188094048562080007e-02, -2.414931572444649777e-03, -5.800076649560952265e-03
8.753354549120000172e+01, 1.001700395897743290e-01, 8.237943521073013906e-03, -1.581010906222957840e-02, 3.500797723670787728e-03, -6.538030946768527522e-03, 1.028686320925161213e-01, 7.479819113580074563e-02, 2.267325601506567367e-02, 1.160938262307984956e-02, -2.574864321926737497e-03, -5.658159567759169818e-03
8.889048826200000519e+01, 9.756243641441529613e-02, 8.115700770546173740e-03, -1.527653021914162496e-02, 3.673390569213525175e-03, -6.859156139149306594e-03, 9.997267210865631859e-02, 7.310447279460091652e-02, 2.204772798838282657e-02, 1.133160248490927557e-02, -2.729029334546612638e-03, -5.516603538161917938e-03
9.025460881559999393e+01, 9.495243943923988017e-02, 7.990194679021664359e-03, -1.474475310846582593e-02, 3.834222952779925246e-03, -7.154455924260704966e-03, 9.706296669423816748e-02, 7.141728862770127528e-02, 2.142462361833167434e-02, 1.104781735162632672e-02, -2.877114822345015061e-03, -5.375438276651242457e-03
9.162594512030000260e+01, 9.234143579285696013e-02, 7.861468483107760322e-03, -1.421508901816672527e-02, 3.983197903873190657e-03, -7.423114492855749889e-03, 9.414198186950835379e-02, 6.973673958343409862e-02, 2.080415019355059958e-02, 1.075825957422882513e-02, -3.018808715491342384e-03, -5.234694373598295335e-03
9.300453534499999364e+01, 8.973083369115246455e-02, 7.729567995774469513e-03, -1.368785980764342450e-02, 4.120224887071711681e-03, -7.664358321226949142e-03, 9.121227188763095239e-02, 6.806287407762402764e-02, 2.018652147682187259e-02, 1.046317723581569915e-02, -3.153799179700724886e-03, -5.094403321970313210e-03
9.439041786059999595e+01, 8.712206312137460440e-02, 7.594541731219782432e-03, -1.316339816127464965e-02, 4.245220409944697182e-03, -7.877461647568279046e-03, 8.827648067850937807e-02, 6.639568790989466840e-02, 1.957195771311374954e-02, 1.016283482912519985e-02, -3.281775186818949863e-03, -4.954597547154847292e-03
9.578363124089999303e+01, 8.451657653362087963e-02, 7.456441034751127607e-03, -1.264204784133707640e-02, 4.358108672674240389e-03, -8.061752316591170101e-03, 8.533734303353271433e-02, 6.473512444235310359e-02, 1.896068564912399904e-02, 9.857513950111470441e-03, -3.402427142573445206e-03, -4.815310438607722787e-03
9.718421426369999949e+01, 8.191584954102937299e-02, 7.315320217731337456e-03, -1.212416393775197533e-02, 4.458822262398878106e-03, -8.216618005314830359e-03, 8.239768549289300248e-02, 6.308107508284321874e-02, 1.835293856309160032e-02, 9.547514006763062333e-03, -3.515447575981442332e-03, -4.676576383736045540e-03
9.859220591209999895e+01, 7.932138163142922471e-02, 7.171236698149290219e-03, -1.161011311472267583e-02, 4.547302896262280132e-03, -8.341512842570109748e-03, 7.946042689430157790e-02, 6.143338011842144897e-02, 1.774895630590547432e-02, 9.233152942912001629e-03, -3.620531895376955054e-03, -4.538430804227880019e-03
