# z (m), U (m/s), V (m/s), M (m/s), Theta (K), Ri (1)
5.942240849419999904e+01, 5.339352445949807624e+00, 2.950055315375094800e+00, 6.100174456237970055e+00, 2.636189884114114648e+02, 1.531374384469897376e-01
6.063065255539999754e+01, 5.383379830695944612e+00, 2.959962879440487526e+00, 6.143516549987102060e+00, 2.636259631384007207e+02, 1.547300125716552510e-01
6.184528783209999858e+01, 5.427526709977147590e+00, 2.969541273010152249e+00, 6.186831060676637684e+00, 2.636329854492274762e+02, 1.563057303608124948e-01
6.306634813160000164e+01, 5.471801839837207027e+00, 2.978787928102987870e+00, 6.230126049633519791e+00, 2.636400575692570101e+02, 1.578650012454995144e-01
6.429386744020000322e+01, 5.516213690320327601e+00, 2.987699876771254814e+00, 6.273409205407687317e+00, 2.636471817245710554e+02, 1.594082159834084855e-01
6.552787992400000405e+01, 5.560770464132728463e+00, 2.996273756333605043e+00, 6.316687866042292931e+00, 2.636543601466127598e+02, 1.609357477818975091e-01
6.676841992980000384e+01, 5.605480113533782394e+00, 3.004505813154407345e+00, 6.359969039264687041e+00, 2.636615950767144909e+02, 1.624479534141127501e-01
6.801552198599999599e+01, 5.650350355612292930e+00, 3.012391905052245189e+00, 6.403259420786195477e+00, 2.636688887705324760e+02, 1.639451741951277464e-01
6.926922080369999435e+01, 5.695388686076356954e+00, 3.019927502405065134e+00, 6.446565410868115187e+00, 2.636762435024177194e+02, 1.654277369183222435e-01
7.052955127760000664e+01, 5.740602391667462001e+00, 3.027107688007587782e+00, 6.489893129291284701e+00, 2.636836615697497450e+02, 1.668959546959732643e-01
7.179654848699999548e+01, 5.785998561299420473e+00, 3.033927155726599878e+00, 6.533248428853298151e+00, 2.636911452972557299e+02, 1.683501277247097527e-01
7.307024769679999565e+01, 5.831584096005682838e+00, 3.040380207989042738e+00, 6.576636907499002760e+00, 2.636986970413385052e+02, 1.697905440088772477e-01
7.435068435830000055e+01, 5.877365717769952980e+00, 3.046460752129224847e+00, 6.620063919178861944e+00, 2.637063191944362188e+02, 1.712174800048782419e-01
7.563789411049999956e+01, 5.923349977303422165e+00, 3.052162295612802279e+00, 6.663534583516899978e+00, 2.637140141894399790e+02, 1.726312012219487491e-01
7.693191278070000294e+01, 5.969543260818735320e+00, 3.057477940146462458e+00, 6.707053794355425147e+00, 2.637217845041852229e+02, 1.740319627638700073e-01
7.823277638599999761e+01, 6.015951795844827643e+00, 3.062400374675199988e+00, 6.750626227236690369e+00, 2.637296326660459727e+02, 1.754200098042200118e-01
7.954052113379999867e+01, 6.062581656113065876e+00, 3.066921867260897550e+00, 6.794256345867047742e+00, 2.637375612566512473e+02, 1.767955780645740216e-01
8.085518342299999972e+01, 6.109438765546666872e+00, 3.071034255829935056e+00, 6.837948407609792056e+00, 2.637455729167447771e+02, 1.781588941814984950e-01
8.217679984529999615e+01, 6.156528901367725126e+00, 3.074728937769049875e+00, 6.881706468034920476e+00, 2.637536703512212171e+02, 1.795101760858330286e-01
8.350540718569999399e+01, 6.203857696326412707e+00, 3.077996858341627728e+00, 6.925534384544308253e+00, 2.637618563343525011e+02, 1.808496333097172615e-01
8.484104242380000471e+01, 6.251430640064907784e+00, 3.080828497890787609e+00, 6.969435819097462570e+00, 2.637701337152377619e+02, 1.821774672661055083e-01
8.618374273499999560e+01, 6.299253079605644956e+00, 3.083213857786614831e+00, 7.013414240041042191e+00, 2.637785054235047824e+02, 1.834938714965925199e-01
8.753354549120000172e+01, 6.347330218945058000e+00, 3.085142445067734940e+00, 7.057472923037022561e+00, 2.637869744752872521e+02, 1.847990318546149924e-01
8.889048826200000519e+01, 6.395667117737435348e+00, 3.086603255720219874e+00, 7.101614951087491967e+00, 2.637955439795162533e+02, 1.860931267036182446e-01
9.025460881559999393e+01, 6.444268689044025500e+00, 3.087584756528097163e+00, 7.145843213644820224e+00, 2.638042171445522399e+02, 1.873763270020727678e-01
9.162594512030000260e+01, 6.493139696101172476e+00, 3.088074865420527448e+00, 7.190160404776207770e+00, 2.638129972852017318e+02, 1.886487964505447479e-01
9.300453534499999364e+01, 6.542284748056927057e+00, 3.088060930232004786e+00, 7.234569020348008195e+00, 2.638218878301514678e+02, 1.899106915028222486e-01
9.439041786059999595e+01, 6.591708294627326659e+00, 3.087529705782064759e+00, 7.279071354196602783e+00, 2.638308923298657191e+02, 1.911621614096944977e-01
9.578363124089999303e+01, 6.641414619599315117e+00, 3.086467329169944929e+00, 7.323669493230910099e+00, 2.638400144649924641e+02, 1.924033481949194990e-01
9.718421426369999949e+01, 6.691407833101127522e+00, 3.084859293168119798e+00, 7.368365311406305018e+00, 2.638492580553322568e+02, 1.936343866026395133e-01
9.859220591209999895e+01, 6.741691862543089719e+00, 3.082690417586357423e+00, 7.413160462494149172e+00, 2.638586270694174800e+02, 1.948554039858735043e-01
1.000076453749999956e+02, 6.792270442131817632e+00, 3.079944818463570044e+00, 7.458056371571455401e+00, 2.638681256347770159e+02, 1.960665201666379753e-01
1.014305720499999950e+02, 6.843147100801765248e+00, 3.076605874931927609e+00, 7.503054225103374719e+00, 2.638777580489332308e+02, 1.972678472789542448e-01
1.028610255400000000e+02, 6.894325148452569607e+00, 3.072656193578980233e+00, 7.548154959531562014e+00, 2.638875287912262593e+02, 1.984594894452977598e-01
1.042990456609999939e+02, 6.945807660356817514e+00, 3.068077570113137753e+00, 7.593359248260436623e+00, 2.638974425355429503e+02, 1.996415425861979842e-01
1.057446724379999949e+02, 6.997597459451087687e+00, 3.062850948128942541e+00, 7.638667486800844841e+00, 2.639075041640230097e+02, 2.008140940004572439e-01
1.071979461070000070e+02, 7.049697096372861793e+00, 3.056956374735597670e+00, 7.684079775964106851e+00, 2.639177187818687571e+02, 2.019772219627264942e-01
