# z (m), P_K (m^2/s^3), eps(m^2/s^3), G_K (m^2/s^3), D_K (m^2/s^3), P_Theta (K^2/s), eps_Theta (K^2/s), D_Theta (K^2/s)
6.306634813160000164e+01, 1.503275829584222378e-03, 1.206044878835039981e-03, -3.104796362018392639e-04, 1.028622894709902065e-05, 1.479198285396959899e-04, 1.471338113818867295e-04, -7.038956016057611979e-07
6.429386744020000322e+01, 1.472266370910324876e-03, 1.180917573938785031e-03, -3.051417244184359751e-04, 1.082983542203462502e-05, 1.462851647713697386e-04, 1.455639653687289953e-04, -6.413109142126357598e-07
6.552787992400000405e+01, 1.441615040451139874e-03, 1.156104785668462609e-03, -2.998019769562060223e-04, 1.132869038248697502e-05, 1.446460059281254871e-04, 1.439881522316672450e-04, -5.803372686001682222e-07
6.676841992980000384e+01, 1.411306891550220127e-03, 1.131592085437567452e-03, -2.944610444380779853e-04, 1.178401572685387511e-05, 1.430013523377279990e-04, 1.424053323184255068e-04, -5.210108803882767736e-07
6.801552198599999599e+01, 1.381328147795150060e-03, 1.107366200440107473e-03, -2.891195971750904728e-04, 1.219703785570885144e-05, 1.413502652938022463e-04, 1.408145317357414948e-04, -4.633631312365911949e-07
6.926922080369999435e+01, 1.351666120944597718e-03, 1.083414927388370082e-03, -2.837783256870154893e-04, 1.256898418708300053e-05, 1.396918625183122533e-04, 1.392148373373182423e-04, -4.074210098565534772e-07
7.052955127760000664e+01, 1.322309136525025037e-03, 1.059727054513654983e-03, -2.784379412351955011e-04, 1.290108013079575077e-05, 1.380253140594577552e-04, 1.376053921963614956e-04, -3.532075150010115257e-07
7.179654848699999548e+01, 1.293246466284962530e-03, 1.036292290955867544e-03, -2.730991763688004866e-04, 1.319454666468467655e-05, 1.363498385801557465e-04, 1.359853915113455125e-04, -3.007419975455672738e-07
7.307024769679999565e+01, 1.264468266931855021e-03, 1.013101202777782171e-03, -2.677627854918905007e-04, 1.345059827897919922e-05, 1.346647000020987630e-04, 1.343540789011384929e-04, -2.500405014773977202e-07
7.435068435830000055e+01, 1.235965524361187610e-03, 9.901451549216293453e-04, -2.624295454481359894e-04, 1.367044127759769877e-05, 1.329692044653232603e-04, 1.327107430479795044e-04, -2.011160289986462412e-07
7.563789411049999956e+01, 1.207730002927912428e-03, 9.674162585166683811e-04, -2.571002561178967086e-04, 1.385527254501330008e-05, 1.312626975644937350e-04, 1.310547146549885034e-04, -1.539788175931560003e-07
7.693191278070000294e+01, 1.179754199312312403e-03, 9.449073230046279659e-04, -2.517757410511680012e-04, 1.400627831405212381e-05, 1.295445618566529915e-04, 1.293853636848802345e-04, -1.086365624990135340e-07
7.823277638599999761e+01, 1.152031300435307467e-03, 9.226118126186382256e-04, -2.464568481008057158e-04, 1.412463358203297446e-05, 1.278142145752225191e-04, 1.277020968530130141e-04, -6.509462011687764223e-08
7.954052113379999867e+01, 1.124555145145725039e-03, 9.005238068035075448e-04, -2.411444500967157515e-04, 1.421150124633889945e-05, 1.260711055691072547e-04, 1.260043553494762255e-04, -2.335622832665945127e-08
8.085518342299999972e+01, 1.097320189328962383e-03, 8.786379641979305197e-04, -2.358394455333669842e-04, 1.426803188006745182e-05, 1.243147154144925016e-04, 1.242916127643660016e-04, 1.657738860298788715e-08
8.217679984529999615e+01, 1.070321474074242482e-03, 8.569494898678175045e-04, -2.305427592903585090e-04, 1.429536343774595036e-05, 1.225445536999992461e-04, 1.225633732010087372e-04, 5.470682733236119913e-08
