# z (m), beta1, beta2, beta3, beta4, beta_theta1, beta_theta2, beta_theta3, beta_theta4, beta_g1, beta_g2, lambda_theta1, lambda_theta2, lambda_theta3, lambda_theta4, lambda_g1, lambda_g2, lambda_g3, lambda_g4
1.991108056359999878e+01, -8.804615731792607425e-02, 0.000000000000000000e+00, 1.196722118044497504e-02, -2.152270834698869970e-02, 1.956291027798265011e-02, 1.182321717721082502e-03, 5.805796945878112167e-03, -2.236846042240062376e-03, 4.711913656209472390e-02, 6.992047031173562362e-03, -1.321672322317980208e-01, 2.653090038174587412e-02, -1.051293878874995022e-02, 7.873673215480405524e-03, -1.591676553655795301e-01, 0.000000000000000000e+00, -1.266031575501202523e-02, 0.000000000000000000e+00
2.091032263820000026e+01, -8.642139205879192931e-02, 0.000000000000000000e+00, 1.193717733622300103e-02, -2.113081625509589945e-02, 1.923609650654732606e-02, 1.182784458093624974e-03, 5.612644162894009879e-03, -2.152864326359592555e-03, 4.587284749701329989e-02, 6.692448416035315720e-03, -1.306631731379229722e-01, 2.617736685010402589e-02, -1.061021428495777415e-02, 7.637891769061612088e-03, -1.557970406165967714e-01, 0.000000000000000000e+00, -1.265085239808930173e-02, 0.000000000000000000e+00
2.191485037620000043e+01, -8.489913669983817357e-02, 0.000000000000000000e+00, 1.190273882667665026e-02, -2.076450409651062548e-02, 1.893096685355605269e-02, 1.181352156839987708e-03, 5.434102961072700272e-03, -2.075958011593265120e-03, 4.471663948631229846e-02, 6.418050041371520589e-03, -1.292283538551427524e-01, 2.584676765051234851e-02, -1.069653880843487483e-02, 7.419220173584113037e-03, -1.526235375456737597e-01, 0.000000000000000000e+00, -1.263271993279307601e-02, 0.000000000000000000e+00
2.292469173710000163e+01, -8.347050622412312271e-02, 0.000000000000000000e+00, 1.186481948501057551e-02, -2.042141459516767441e-02, 1.864548168787285090e-02, 1.178408207746887331e-03, 5.268705644705436869e-03, -2.005322164455919723e-03, 4.364158498596156649e-02, 6.166088969331519690e-03, -1.278590989517749965e-01, 2.553690793368802378e-02, -1.077308782014224989e-02, 7.215984282347379791e-03, -1.496325152778459899e-01, 0.000000000000000000e+00, -1.260737592514057405e-02, 0.000000000000000000e+00
2.393987482800000066e+01, -8.212770392212234705e-02, 0.000000000000000000e+00, 1.182418182369259982e-02, -2.009949746813022298e-02, 1.837787088024759805e-02, 1.174264956293610222e-03, 5.115178461812077901e-03, -1.940270673576240156e-03, 4.263995739596319889e-02, 5.934188529717008068e-03, -1.265520190319367466e-01, 2.524589396229585253e-02, -1.084090016975145128e-02, 7.026730315775383401e-03, -1.468108532300737568e-01, 0.000000000000000000e+00, -1.257606797435095042e-02, 0.000000000000000000e+00
2.496042790510000131e+01, -8.086386239280210497e-02, 0.000000000000000000e+00, 1.178146542468589894e-02, -1.979696198684887526e-02, 1.812659159504192291e-02, 1.169177883437802490e-03, 4.972411130657530300e-03, -1.880215547278792348e-03, 4.170503791902149815e-02, 5.720294573573255631e-03, -1.253039862930034887e-01, 2.497208457283552063e-02, -1.090089664806812540e-02, 6.850190105465630078e-03, -1.441467531804229985e-01, 0.000000000000000000e+00, -1.253986711173322478e-02, 0.000000000000000000e+00
2.598637937370000017e+01, -7.967291068965759449e-02, 0.000000000000000000e+00, 1.173720925237299942e-02, -1.951223773038777629e-02, 1.789029349882764741e-02, 1.163356714324870027e-03, 4.839431811726817648e-03, -1.824650289355604724e-03, 4.083095774372597075e-02, 5.522623681874562832e-03, -1.241121120257057536e-01, 2.471405134768574902e-02, -1.095389557973532393e-02, 6.685252593505320445e-03, -1.416295783728807600e-01, 0.000000000000000000e+00, -1.249969519065004947e-02, 0.000000000000000000e+00
2.701775778969999919e+01, -7.854946306636487185e-02, 0.000000000000000000e+00, 1.169186935517932402e-02, -1.924394204118879889e-02, 1.766778999515929843e-02, 1.156974170665859983e-03, 4.715386465153379586e-03, -1.773136476029477365e-03, 4.001256851894592625e-02, 5.339620869007432637e-03, -1.229737260417060052e-01, 2.447054583582292456e-02, -1.100062601117504993e-02, 6.530940359763684824e-03, -1.392497154431267536e-01, 0.000000000000000000e+00, -1.245634749972289977e-02, 0.000000000000000000e+00
2.805459185979999859e+01, -7.748872551058889890e-02, 0.000000000000000000e+00, 1.164583301923692409e-02, -1.899085294377242383e-02, 1.745803435047262389e-02, 1.150172906385110065e-03, 4.599521746066389735e-03, -1.725292855136047491e-03, 3.924533553349349863e-02, 5.169924855805512615e-03, -1.218863579435002509e-01, 2.424047247003715058e-02, -1.104173892070547600e-02, 6.386390196981972869e-03, -1.369984555920930047e-01, 0.000000000000000000e+00, -1.241051153665344992e-02, 0.000000000000000000e+00
2.909691044250000047e+01, -7.648641697039418319e-02, 0.000000000000000000e+00, 1.159943017620010050e-02, -1.875188653427702426e-02, 1.726009980510657266e-02, 1.143071034133842515e-03, 4.491170767283352364e-03, -1.680786444799500052e-03, 3.852524920411783127e-02, 5.012339409885336813e-03, -1.208477201079640045e-01, 2.402286610800327335e-02, -1.107781679571032477e-02, 6.250836960736922375e-03, -1.348678920026902261e-01, 0.000000000000000000e+00, -1.236278267882745009e-02, 0.000000000000000000e+00
3.014474254929999830e+01, -7.553870272591317603e-02, 0.000000000000000000e+00, 1.155294266537669999e-02, -1.852607803256062571e-02, 1.707316293777404875e-02, 1.135766552349259939e-03, 4.389741194090437254e-03, -1.639325225051875209e-03, 3.784875137977867371e-02, 4.865809571955989968e-03, -1.198556922368302496e-01, 2.381687333397099898e-02, -1.110938185168490119e-02, 6.123600078379577011e-03, -1.328508309745584925e-01, 0.000000000000000000e+00, -1.231367732611179933e-02, 0.000000000000000000e+00
3.119811734479999998e+01, -7.464213781333002562e-02, 0.000000000000000000e+00, 1.150661179922137650e-02, -1.831256583636529933e-02, 1.689648969147912461e-02, 1.128340909306229951e-03, 4.294705242714608184e-03, -1.600652104516397424e-03, 3.721267368408912035e-02, 4.729401835835938053e-03, -1.189083073326792361e-01, 2.362173682391909696e-02, -1.113690311137862515e-02, 6.004072224584420560e-03, -1.309407146861987503e-01, 0.000000000000000000e+00, -1.226364396810607389e-02, 0.000000000000000000e+00
3.225706414799999777e+01, -7.379361880534272833e-02, 0.000000000000000000e+00, 1.146064458361470070e-02, -1.811057805115990141e-02, 1.672942358754672329e-02, 1.120861886107607551e-03, 4.205591240784007159e-03, -1.564539914132195061e-03, 3.661418568732890261e-02, 4.602287544961187332e-03, -1.180037389537519910e-01, 2.343678222030532582e-02, -1.116080252627314924e-02, 5.891709772069994924e-03, -1.291315538179435007e-01, 0.000000000000000000e+00, -1.221307254099712400e-02, 0.000000000000000000e+00
3.332161243310000032e+01, -7.299034255441413932e-02, 0.000000000000000000e+00, 1.141521885997009989e-02, -1.791942106460970088e-02, 1.657137574336855004e-02, 1.113385939117484888e-03, 4.121976474416764839e-03, -1.530787232027175067e-03, 3.605075113941802467e-02, 4.483728918309837219e-03, -1.171402896166290064e-01, 2.326140706724322271e-02, -1.118146028708297442e-02, 5.786024702344492315e-03, -1.274178685767934915e-01, 0.000000000000000000e+00, -1.216230236551549965e-02, 0.000000000000000000e+00
3.439179183000000251e+01, -7.222977074488068361e-02, 0.000000000000000000e+00, 1.137048757478852611e-02, -1.773846981180207671e-02, 1.642181638022627288e-02, 1.105960111130934983e-03, 4.043481098856120150e-03, -1.499214883947442602e-03, 3.552009083576242177e-02, 4.373067235022079502e-03, -1.163163802244597533e-01, 2.309507144041119883e-02, -1.119921944322272572e-02, 5.686577721410400119e-03, -1.257946368907212620e-01, 0.000000000000000000e+00, -1.211162889996954956e-02, 0.000000000000000000e+00
3.546763212540000154e+01, -7.150959932083943149e-02, 0.000000000000000000e+00, 1.132658234271922450e-02, -1.756715944913492602e-02, 1.628026756955569879e-02, 1.098623596748254938e-03, 3.969762933117855497e-03, -1.469662996283977677e-03, 3.502015097220972234e-02, 4.269712800979179844e-03, -1.155305404069609937e-01, 2.293728998025749977e-02, -1.121438993347734919e-02, 5.592972375870536826e-03, -1.242572487395007530e-01, 0.000000000000000000e+00, -1.206130950220872522e-02, 0.000000000000000000e+00
3.654916326370000235e+01, -7.082773201234543459e-02, 0.000000000000000000e+00, 1.128361643131077507e-02, -1.740497820258465195e-02, 1.614629701045992502e-02, 1.091409029086924925e-03, 3.900512991807959622e-03, -1.441988502857250148e-03, 3.454907605805482285e-02, 4.173136392323377811e-03, -1.147813996716517543e-01, 2.278762508870119802e-02, -1.122725211143367485e-02, 5.504850002160302687e-03, -1.228014657549495042e-01, 0.000000000000000000e+00, -1.201156835739457425e-02, 0.000000000000000000e+00
3.763641534770000163e+01, -7.018225731536548162e-02, 0.000000000000000000e+00, 1.124168726934975104e-02, -1.725146119789892560e-02, 1.601951266861860110e-02, 1.084343540892940012e-03, 3.835451633986737378e-03, -1.416063025960910028e-03, 3.410518562805207876e-02, 4.082861928231528229e-03, -1.140676792750937585e-01, 2.264568109339270066e-02, -1.123805983577609927e-02, 5.421885372256440502e-03, -1.214233853547520003e-01, 0.000000000000000000e+00, -1.196260070050475001e-02, 0.000000000000000000e+00
3.872941863909999682e+01, -6.957142838915934824e-02, 0.000000000000000000e+00, 1.120087855919342512e-02, -1.710618511324082242e-02, 1.589955813653897571e-02, 1.077449642130909931e-03, 3.774325230326690261e-03, -1.391771067329237652e-03, 3.368695413265670319e-02, 3.998460170961207552e-03, -1.133881847340034998e-01, 2.251109921825257543e-02, -1.124704318383547459e-02, 5.343782923607844765e-03, -1.201194087906607560e-01, 0.000000000000000000e+00, -1.191457643976527592e-02, 0.000000000000000000e+00
3.982820355999999862e+01, -6.899364543738782662e-02, 0.000000000000000000e+00, 1.116126206377745025e-02, -1.696876352902862428e-02, 1.578610860279802686e-02, 1.070745947754332596e-03, 3.716903268199980154e-03, -1.369008457584790055e-03, 3.329299350219977471e-02, 3.919543288692705317e-03, -1.127417988979635133e-01, 2.238355323269887454e-02, -1.125441084127475067e-02, 5.270273482467339315e-03, -1.188862125730797553e-01, 0.000000000000000000e+00, -1.186764327247675013e-02, 0.000000000000000000e+00
4.093280069330000259e+01, -6.844744019113382927e-02, 0.000000000000000000e+00, 1.112289911657314903e-02, -1.683884286126102400e-02, 1.567886733243884986e-02, 1.064247782460040056e-03, 3.662975826534740128e-03, -1.347681021006877540e-03, 3.292203796095087565e-02, 3.845760144362139581e-03, -1.121274755238555049e-01, 2.226274566674354971e-02, -1.126035220754417407e-02, 5.201111403045504539e-03, -1.177207228311527576e-01, 0.000000000000000000e+00, -1.182192936466347488e-02, 0.000000000000000000e+00
4.204324078369999995e+01, -6.793146218787055046e-02, 0.000000000000000000e+00, 1.108584190119922368e-02, -1.671609879151554623e-02, 1.557756258094875057e-02, 1.057967684200632500e-03, 3.612351365000520016e-03, -1.327703421190470044e-03, 3.257293074518305409e-02, 3.776792198414950005e-03, -1.115442332891722482e-01, 2.214840450449257619e-02, -1.126503925536587528e-02, 5.136072059958777733e-03, -1.166200922115352423e-01, 0.000000000000000000e+00, -1.177754565814927677e-02, 0.000000000000000000e+00
4.315955473870000247e+01, -6.744446658604530409e-02, 0.000000000000000000e+00, 1.105013453674987683e-02, -1.660023311899397336e-02, 1.548194487615850087e-02, 1.051915823963875049e-03, 3.564854780919942106e-03, -1.308998159002060018e-03, 3.224461243705682711e-02, 3.712349932299379828e-03, -1.109911501913377480e-01, 2.204028028178624948e-02, -1.126862817564682623e-02, 5.074949641315355461e-03, -1.155816789840449915e-01, 0.000000000000000000e+00, -1.173458785762837402e-02, 0.000000000000000000e+00
4.428177362880000345e+01, -6.698530328154647662e-02, 0.000000000000000000e+00, 1.101581399278782521e-02, -1.649097096559129852e-02, 1.539178460987795059e-02, 1.046100355934769834e-03, 3.520325693788624571e-03, -1.291494698423062458e-03, 3.193611066733677284e-02, 3.652169713971329789e-03, -1.104673582916879948e-01, 2.193814352103840015e-02, -1.127126083151817545e-02, 5.017555196741065211e-03, -1.146030280756400038e-01, 0.000000000000000000e+00, -1.169313813881650045e-02, 0.000000000000000000e+00
4.540992868949999917e+01, -6.655290716158288045e-02, 0.000000000000000000e+00, 1.098291086864272570e-02, -1.638805829229682612e-02, 1.530686989843695056e-02, 1.040527709842417560e-03, 3.478616926261357458e-03, -1.275128701940557484e-03, 3.164653099426732730e-02, 3.596011041966977722e-03, -1.099720387508297537e-01, 2.184178245990187409e-02, -1.127306605063170195e-02, 4.963714905922337293e-03, -1.136818537662902528e-01, 0.000000000000000000e+00, -1.165326662061965009e-02, 0.000000000000000000e+00
4.654405132099999776e+01, -6.614628930854321576e-02, 0.000000000000000000e+00, 1.095145004502099881e-02, -1.629125966865115072e-02, 1.522700466631990088e-02, 1.035202834716362477e-03, 3.439593151559917298e-03, -1.259841357466805114e-03, 3.137504877585267637e-02, 3.543654111203200108e-03, -1.095044171301760016e-01, 2.175100101952927648e-02, -1.127416076876170022e-02, 4.913268532914145253e-03, -1.128160238503904955e-01, 0.000000000000000000e+00, -1.161503262636617677e-02, 0.000000000000000000e+00
4.768417308979999802e+01, -6.576452903705927444e-02, 0.000000000000000000e+00, 1.092145123382442379e-02, -1.620035626708267451e-02, 1.515200692457469890e-02, 1.030129402046857465e-03, 3.403129685232562495e-03, -1.245578784187675089e-03, 3.112090189933142473e-02, 3.494897655688782630e-03, -1.090637589162387622e-01, 2.166561698310905115e-02, -1.127465104738192489e-02, 4.866068041966764568e-03, -1.120035450584722370e-01, 0.000000000000000000e+00, -1.157848576585954886e-02, 0.000000000000000000e+00
4.883032572949999661e+01, -6.540676664245344274e-02, 0.000000000000000000e+00, 1.089292943722142658e-02, -1.611514404668539999e-02, 1.508170721438147413e-02, 1.025309974655932424e-03, 3.369111400652700407e-03, -1.232291505402622472e-03, 3.088338424377690128e-02, 3.449557028638037485e-03, -1.086493652414579902e-01, 2.158546035108559885e-02, -1.127463297862260107e-02, 4.821976351438930428e-03, -1.112425495844762413e-01, 0.000000000000000000e+00, -1.154366686002375117e-02, 0.000000000000000000e+00
4.998254114129999692e+01, -6.507219675382377999e-02, 0.000000000000000000e+00, 1.086589532590860087e-02, -1.603543209636462685e-02, 1.501594719052702469e-02, 1.020746146592659996e-03, 3.337431750622465304e-03, -1.219933978284402573e-03, 3.066183976798787444e-02, 3.407462486125775042e-03, -1.082605687764479907e-01, 2.151037184467170099e-02, -1.127419348984294925e-02, 4.780866205786299394e-03, -1.105312825734150045e-01, 0.000000000000000000e+00, -1.151060872655434997e-02, 0.000000000000000000e+00
5.114085139529999680e+01, -6.476006221482003000e-02, 0.000000000000000000e+00, 1.084035555035155023e-02, -1.596104111795244862e-02, 1.495457832643994935e-02, 1.016438658520767580e-03, 3.307991881000872658e-03, -1.208464172759287584e-03, 3.045565713879077457e-02, 3.368457646520305222e-03, -1.078967297666449943e-01, 2.144020153847665117e-02, -1.127341106165632642e-02, 4.742619150042532220e-03, -1.098680904397749958e-01, 0.000000000000000000e+00, -1.147933684583417498e-02, 0.000000000000000000e+00
5.230528873130000278e+01, -6.446964841507693555e-02, 0.000000000000000000e+00, 1.081631299212639993e-02, -1.589180202752967647e-02, 1.489746072258257489e-02, 1.012387492243607429e-03, 3.280699823440882523e-03, -1.197843192279467606e-03, 3.026426482239064769e-02, 3.332398101144190550e-03, -1.075572321950545029e-01, 2.137480760199184787e-02, -1.127235636889075028e-02, 4.707124592165004562e-03, -1.092514099105877518e-01, 0.000000000000000000e+00, -1.144986992122847512e-02, 0.000000000000000000e+00
5.347588555950000000e+01, -6.420027800766160697e-02, 0.000000000000000000e+00, 1.079376696245464874e-02, -1.582755465729087513e-02, 1.484446200313447629e-02, 1.008591947468949956e-03, 3.255469756275962412e-03, -1.188034930434954915e-03, 3.008712657292125087e-02, 3.299150155192612493e-03, -1.072414800547167590e-01, 2.131405513349612230e-02, -1.127109285348019962e-02, 4.674278940911792517e-03, -1.086797576978752455e-01, 0.000000000000000000e+00, -1.142222034646550241e-02, 0.000000000000000000e+00
5.465267446160000020e+01, -6.395130596128646705e-02, 0.000000000000000000e+00, 1.077271335574425150e-02, -1.576814654472009913e-02, 1.479545628904612581e-02, 1.005050703449227641e-03, 3.232221324395512588e-03, -1.179005758444930021e-03, 2.992373726367515002e-02, 3.268589681166137947e-03, -1.069488937155242403e-01, 2.125781507391667421e-02, -1.126967723826525006e-02, 4.643984809074537708e-03, -1.081517207161512423e-01, 0.000000000000000000e+00, -1.139639459226754990e-02, 0.000000000000000000e+00
5.583568819159999919e+01, -6.372211490266002643e-02, 0.000000000000000000e+00, 1.075314476395987373e-02, -1.571343179693185030e-02, 1.475032323700494960e-02, 1.001761867714799636e-03, 3.210879010134402682e-03, -1.170724239191552572e-03, 2.977361901437004799e-02, 3.240601069529724931e-03, -1.066789063756437422e-01, 2.120596318952477910e-02, -1.126815998908097492e-02, 4.616150273171140510e-03, -1.076659467777189988e-01, 0.000000000000000000e+00, -1.137239352262902486e-02, 0.000000000000000000e+00
